Task,Model,Embedding,Iteration,AUC,AUPRC,ACC,F1
los_3,Proposed,concat,7,0.704714805,0.639214189,0.666289593,0.554245996
los_7,Proposed,concat,7,0.727916271,0.21568566,0.918778281,0.052770449
mort_hosp,Proposed,concat,8,0.876686238,0.570323691,0.913348416,0.459802539
mort_icu,Proposed,concat,8,0.886557102,0.500852706,0.940723982,0.422907489
los_3,Proposed,concat,8,0.706852386,0.649112287,0.670588235,0.572769953
los_7,Proposed,concat,8,0.729469538,0.202833095,0.919230769,0
mort_hosp,Proposed,concat,9,0.873409642,0.565057069,0.910180995,0.474172185
mort_icu,Proposed,concat,9,0.876589576,0.477076618,0.938235294,0.325925926
los_3,Proposed,concat,9,0.697292439,0.636156877,0.656108597,0.575892857
los_7,Proposed,concat,9,0.679551269,0.191293455,0.919230769,0
mort_hosp,Proposed,concat,10,0.873196876,0.556843968,0.911538462,0.443812233
mort_icu,Proposed,concat,10,0.884149165,0.518427394,0.942533937,0.459574468
los_3,Proposed,concat,10,0.705527061,0.646322512,0.667647059,0.563447251
los_7,Proposed,concat,10,0.719772822,0.218980324,0.919457014,0.011111111
mort_hosp,Time Series,,1,0.878797199,0.564112934,0.913800905,0.423600605
mort_icu,Time Series,,1,0.887855748,0.514709673,0.93959276,0.415754923
los_3,Time Series,,1,0.697040713,0.639523352,0.660633484,0.527410208
los_7,Time Series,,1,0.741251066,0.218239751,0.919230769,0.027247956
mort_hosp,Time Series,,2,0.878862375,0.561444781,0.914479638,0.444117647
mort_icu,Time Series,,2,0.884658964,0.511452832,0.940723982,0.357843137
los_3,Time Series,,2,0.69752953,0.641087409,0.661538462,0.564356436
los_7,Time Series,,2,0.727604652,0.217133825,0.918778281,0.016438356
mort_hosp,Time Series,,3,0.88043038,0.55804353,0.913800905,0.416539051
mort_icu,Time Series,,3,0.883640899,0.506304262,0.940723982,0.401826484
los_3,Time Series,,3,0.694895605,0.640556231,0.662443439,0.561176471
los_7,Time Series,,3,0.732732571,0.212295268,0.920135747,0.073490814
mort_hosp,Time Series,,4,0.878941557,0.556431473,0.912443439,0.416289593
mort_icu,Time Series,,4,0.886071835,0.514730937,0.939819005,0.372641509
los_3,Time Series,,4,0.698066016,0.640145868,0.657692308,0.566599828
los_7,Time Series,,4,0.732891828,0.206856681,0.917873303,0.037135279
mort_hosp,Time Series,,5,0.875580932,0.553705285,0.91199095,0.418535127
mort_icu,Time Series,,5,0.889681058,0.522518283,0.943665158,0.424942263
los_3,Time Series,,5,0.695409511,0.639056924,0.663348416,0.570190641
los_7,Time Series,,5,0.738135914,0.234108779,0.919457014,0.053191489
mort_hosp,Time Series,,6,0.875807703,0.554899125,0.911764706,0.433139535
mort_icu,Time Series,,6,0.886793219,0.51323957,0.940497738,0.427015251
los_3,Time Series,,6,0.68674869,0.628948771,0.652714932,0.560045858
los_7,Time Series,,6,0.737244836,0.217295018,0.918778281,0.047745358
mort_hosp,Time Series,,7,0.877513601,0.557443362,0.912669683,0.437317784
mort_icu,Time Series,,7,0.884792355,0.510008049,0.941628959,0.453389831
los_3,Time Series,,7,0.694967945,0.643519865,0.665158371,0.551786796
los_7,Time Series,,7,0.740561644,0.210420102,0.919457014,0.032608696
mort_hosp,Time Series,,8,0.877085914,0.564458283,0.913800905,0.461103253
mort_icu,Time Series,,8,0.888252087,0.514034664,0.940723982,0.430434783
los_3,Time Series,,8,0.698173271,0.646353611,0.659276018,0.537753223
los_7,Time Series,,8,0.733828062,0.195670919,0.918552036,0.02173913
mort_hosp,Time Series,,9,0.877702666,0.551212735,0.913800905,0.428785607
mort_icu,Time Series,,9,0.880744628,0.513440278,0.940045249,0.417582418
los_3,Time Series,,9,0.697767039,0.643747041,0.661764706,0.554927062
los_7,Time Series,,9,0.743734363,0.221076517,0.920135747,0.053619303
mort_hosp,Time Series,,10,0.876180986,0.540014016,0.909276018,0.41459854
mort_icu,Time Series,,10,0.87731326,0.488367205,0.940497738,0.429501085
los_3,Time Series,,10,0.696028895,0.641229687,0.658144796,0.534360555
los_7,Time Series,,10,0.726139631,0.211250359,0.919004525,0.042780749
